algo,best,median,std,q1,q3,iqr
hill_climbing_1_lambda,0.013339004607933516,0.014775655701946493,0.0016286949340973244,0.014151139780825158,0.015877290368977844,0.0017261505881526855
hill_climbing_1p1,0.015344118640915928,0.02700701061820001,0.02170006632077059,0.020260815320765596,0.049130734257331346,0.02886991893656575
random_search,0.014498668820767936,0.02315560323303515,0.0063705899046430795,0.02048355519849506,0.02817768731279996,0.007694132114304898
simulated_annealing_exponential,0.012879570725798966,0.013628148946623474,0.0007633879942681783,0.013321926043722461,0.014207721419879719,0.0008857953761572581
simulated_annealing_linear,0.012806171879235174,0.013384262730286985,0.0008878524417037832,0.013158798186298169,0.013937187343428175,0.000778389157130006
simulated_annealing_logarithmic,0.012808731506650392,0.01390678127531671,0.0005633553522573541,0.013477280677398795,0.014157726871403906,0.0006804461940051118
